"scenario_id","replicate_id","n","J","J_block","K1","K2","ARI_Q","RMSE_B","RMSE_eta","elapsed_min","seed","path"
2,39,1000,48,24,2,2,0.933416330385507,0.0756306571839709,0.194538984931096,0.79725462992986,1110039,"result/fits/scenario_02_n1000_J24_K2/replicate_039.rds"
2,40,1000,48,24,2,2,0.927083108879743,0.0716321748640023,0.218550652191386,0.797223261992137,1110040,"result/fits/scenario_02_n1000_J24_K2/replicate_040.rds"
2,41,1000,48,24,2,2,1,0.0643660515666811,0.164000709965306,0.800152679284414,1110041,"result/fits/scenario_02_n1000_J24_K2/replicate_041.rds"
2,42,1000,48,24,2,2,0.927083108879743,0.0715064161120584,0.13138317857174,0.795854290326436,1110042,"result/fits/scenario_02_n1000_J24_K2/replicate_042.rds"
2,43,1000,48,24,2,2,0.886932304591411,0.0721412292881855,0.0985907435575092,0.796262828509013,1110043,"result/fits/scenario_02_n1000_J24_K2/replicate_043.rds"
2,44,1000,48,24,2,2,0.963958590721254,0.0710793038422582,0.156774518036479,0.814522981643677,1110044,"result/fits/scenario_02_n1000_J24_K2/replicate_044.rds"
2,45,1000,48,24,2,2,0.812133457106973,0.0841994190745075,0.155412474054899,0.80965694586436,1110045,"result/fits/scenario_02_n1000_J24_K2/replicate_045.rds"
2,46,1000,48,24,2,2,1,0.0768011663766168,0.176060525644818,0.814479430516561,1110046,"result/fits/scenario_02_n1000_J24_K2/replicate_046.rds"
2,47,1000,48,24,2,2,0.963958590721254,0.0784389132878373,0.197623715905046,0.813310201962789,1110047,"result/fits/scenario_02_n1000_J24_K2/replicate_047.rds"
2,48,1000,48,24,2,2,0.883650735054613,0.0739713235733157,0.206777248181554,0.811568236351013,1110048,"result/fits/scenario_02_n1000_J24_K2/replicate_048.rds"
2,49,1000,48,24,2,2,0.963958590721254,0.0703747052859757,0.160968835766078,0.812142133712769,1110049,"result/fits/scenario_02_n1000_J24_K2/replicate_049.rds"
2,50,1000,48,24,2,2,0.960880560861353,0.0678928138411081,0.187479064038345,0.810942669709524,1110050,"result/fits/scenario_02_n1000_J24_K2/replicate_050.rds"
2,51,1000,48,24,2,2,0.87988860372413,0.0731412000780944,0.157123033154771,0.811579910914103,1110051,"result/fits/scenario_02_n1000_J24_K2/replicate_051.rds"
2,52,1000,48,24,2,2,0.921006701286388,0.06272464796445,0.148357200589109,0.811238646507263,1110052,"result/fits/scenario_02_n1000_J24_K2/replicate_052.rds"
2,53,1000,48,24,2,2,0.87988860372413,0.0824284569879714,0.179304642536425,0.810600459575653,1110053,"result/fits/scenario_02_n1000_J24_K2/replicate_053.rds"
2,54,1000,48,24,2,2,1,0.0734738161978492,0.138987657667958,0.814476176102956,1110054,"result/fits/scenario_02_n1000_J24_K2/replicate_054.rds"
2,55,1000,48,24,2,2,0.963958590721254,0.0646403169621963,0.106368914109324,0.808114461104075,1110055,"result/fits/scenario_02_n1000_J24_K2/replicate_055.rds"
2,56,1000,48,24,2,2,1,0.0726598341950135,0.170339948835455,0.814323012034098,1110056,"result/fits/scenario_02_n1000_J24_K2/replicate_056.rds"
