"scenario_id","replicate_id","n","J","J_block","true_K1","true_K2","fit_K1","fit_K2","BIC_mod","mean_parameter_count","elapsed_min","seed","path","true_model_BIC","best_incorrect_BIC","BIC_margin_best_wrong_minus_true","best_wrong_K1","best_wrong_K2","correct"
5,41,1000,72,36,2,2,2,2,148676.690522369,267.574,0.991308196385701,6370202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_041/fit_K1_2_K2_2.rds",148676.690522369,149037.727998413,361.037476044003,3,2,TRUE
11,41,1000,72,36,3,3,3,3,150550.852808885,304.234,1.35120676755905,12370303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_041/fit_K1_3_K2_3.rds",150550.852808885,151340.158274971,789.305466085993,5,3,TRUE
17,41,1000,72,36,4,4,4,4,151471.441350236,338.696,2.02931976715724,18370404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_041/fit_K1_4_K2_4.rds",151471.441350236,151790.483310183,319.041959946975,5,4,TRUE
5,42,1000,72,36,2,2,2,2,148691.502173994,276.766,0.993387095133464,6380202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_042/fit_K1_2_K2_2.rds",148691.502173994,149141.044633533,449.542459538992,2,3,TRUE
11,42,1000,72,36,3,3,3,3,150529.260439339,299.718,1.35175145467122,12380303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_042/fit_K1_3_K2_3.rds",150529.260439339,150881.104197208,351.843757869006,4,3,TRUE
17,42,1000,72,36,4,4,4,4,151640.851490866,331.272,2.0330656727155,18380404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_042/fit_K1_4_K2_4.rds",151640.851490866,152194.570416694,553.718925827998,3,4,TRUE
5,43,1000,72,36,2,2,2,2,149030.83771261,270.776,0.988330960273743,6390202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_043/fit_K1_2_K2_2.rds",149030.83771261,149402.751431559,371.913718949014,3,2,TRUE
11,43,1000,72,36,3,3,3,3,150213.048424946,308.08,1.34622000853221,12390303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_043/fit_K1_3_K2_3.rds",150213.048424946,150577.871399176,364.822974229988,4,3,TRUE
17,43,1000,72,36,4,4,4,4,151794.485041854,344.666,2.04799706538518,18390404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_043/fit_K1_4_K2_4.rds",151794.485041854,152150.072114386,355.587072532013,5,4,TRUE
5,44,1000,72,36,2,2,2,2,148895.888105918,268.588,0.986873380343119,6400202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_044/fit_K1_2_K2_2.rds",148895.888105918,149251.964774797,356.076668878988,3,2,TRUE
11,44,1000,72,36,3,3,3,3,150418.036915473,304.744,1.34601360956828,12400303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_044/fit_K1_3_K2_3.rds",150418.036915473,150778.23085647,360.193940997007,4,3,TRUE
17,44,1000,72,36,4,4,4,4,151386.391800755,337.254,2.03870617945989,18400404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_044/fit_K1_4_K2_4.rds",151386.391800755,151807.951983142,421.560182387009,5,4,TRUE
5,45,1000,72,36,2,2,2,2,149266.388396113,271.4,0.988907746473948,6410202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_045/fit_K1_2_K2_2.rds",149266.388396113,149595.480232572,329.091836459003,3,2,TRUE
11,45,1000,72,36,3,3,3,3,150353.557123473,301.67,1.35882142782211,12410303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_045/fit_K1_3_K2_3.rds",150353.557123473,150663.589486698,310.032363225007,4,3,TRUE
17,45,1000,72,36,4,4,4,4,151138.395777442,335.044,2.03474954764048,18410404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_045/fit_K1_4_K2_4.rds",151138.395777442,151571.764476024,433.368698581995,5,4,TRUE
5,46,1000,72,36,2,2,2,2,148537.129306063,273.796,0.993439733982086,6420202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_046/fit_K1_2_K2_2.rds",148537.129306063,148926.283751914,389.154445850989,2,3,TRUE
11,46,1000,72,36,3,3,3,3,150687.612112628,308.956,1.34018995364507,12420303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_046/fit_K1_3_K2_3.rds",150687.612112628,151094.741658435,407.129545806994,4,3,TRUE
17,46,1000,72,36,4,4,4,4,151294.776869502,340.294,2.04354860385259,18420404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_046/fit_K1_4_K2_4.rds",151294.776869502,151797.371983097,502.595113594987,5,4,TRUE
5,47,1000,72,36,2,2,2,2,148815.291112786,268.18,0.987801400820414,6430202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_047/fit_K1_2_K2_2.rds",148815.291112786,149135.007578462,319.716465676,2,3,TRUE
11,47,1000,72,36,3,3,3,3,150237.731271304,304.394,0.895988396803538,12430303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_047/fit_K1_3_K2_3.rds",150237.731271304,150588.943090005,351.211818701006,4,3,TRUE
17,47,1000,72,36,4,4,4,4,151508.35582275,343.72,1.32393057346344,18430404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_047/fit_K1_4_K2_4.rds",151508.35582275,151928.817338047,420.461515297007,5,4,TRUE
5,48,1000,72,36,2,2,2,2,148972.923255674,269.208,0.989309426148733,6440202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_048/fit_K1_2_K2_2.rds",148972.923255674,149338.85574088,365.932485206024,3,2,TRUE
11,48,1000,72,36,3,3,3,3,150433.812303552,300.694,1.35072206656138,12440303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_048/fit_K1_3_K2_3.rds",150433.812303552,150821.338856003,387.526552451018,4,3,TRUE
17,48,1000,72,36,4,4,4,4,151509.673452869,341.618,2.03278851509094,18440404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_048/fit_K1_4_K2_4.rds",151509.673452869,151952.585818603,442.912365733995,5,4,TRUE
5,49,1000,72,36,2,2,2,2,149042.619992248,268.158,0.993258464336395,6450202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_049/fit_K1_2_K2_2.rds",149042.619992248,149382.490636721,339.870644473005,3,2,TRUE
11,49,1000,72,36,3,3,3,3,150386.779572712,305.022,1.35053321123123,12450303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_049/fit_K1_3_K2_3.rds",150386.779572712,150856.291568283,469.511995570996,4,3,TRUE
17,49,1000,72,36,4,4,4,4,151443.535612199,341.698,2.03926439285278,18450404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_049/fit_K1_4_K2_4.rds",151443.535612199,151848.568547451,405.032935252006,5,4,TRUE
5,50,1000,72,36,2,2,2,2,148705.774131032,265.574,0.98663459221522,6460202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_050/fit_K1_2_K2_2.rds",148705.774131032,149040.782377025,335.008245992998,3,2,TRUE
11,50,1000,72,36,3,3,3,3,150284.925601468,300.464,1.3468822201093,12460303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_050/fit_K1_3_K2_3.rds",150284.925601468,150597.421092242,312.495490773988,4,3,TRUE
17,50,1000,72,36,4,4,4,4,150931.702735358,341.53,2.01464759906133,18460404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_050/fit_K1_4_K2_4.rds",150931.702735358,151234.727059572,303.024324213999,5,4,TRUE
5,51,1000,72,36,2,2,2,2,148958.256951948,274.582,0.988608495394389,6470202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_051/fit_K1_2_K2_2.rds",148958.256951948,149320.23971892,361.982766972011,3,2,TRUE
11,51,1000,72,36,3,3,3,3,150769.437263285,304.824,1.29033289750417,12470303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_051/fit_K1_3_K2_3.rds",150769.437263285,151203.81730293,434.380039644981,4,3,TRUE
17,51,1000,72,36,4,4,4,4,151480.722643319,336.602,2.02840559482574,18470404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_051/fit_K1_4_K2_4.rds",151480.722643319,151849.785052115,369.062408796017,5,4,TRUE
