"model","dataset_id","K_a","K_g","combo","bic","path"
"eacdm",86,2,3,"K1_2_K2_3",98721.667688779,"result/eacdm/dataset_086_K1_2_K2_3.rds"
"eacdm",87,3,3,"K1_3_K2_3",98514.5405980352,"result/eacdm/dataset_087_K1_3_K2_3.rds"
"eacdm",88,3,3,"K1_3_K2_3",99005.9807626343,"result/eacdm/dataset_088_K1_3_K2_3.rds"
"eacdm",89,3,3,"K1_3_K2_3",99159.8585846484,"result/eacdm/dataset_089_K1_3_K2_3.rds"
"eacdm",90,3,3,"K1_3_K2_3",98614.9527754126,"result/eacdm/dataset_090_K1_3_K2_3.rds"
"eacdm",91,3,3,"K1_3_K2_3",98416.0876023638,"result/eacdm/dataset_091_K1_3_K2_3.rds"
"eacdm",92,3,3,"K1_3_K2_3",98715.6233327214,"result/eacdm/dataset_092_K1_3_K2_3.rds"
"eacdm",93,3,3,"K1_3_K2_3",98805.2472952466,"result/eacdm/dataset_093_K1_3_K2_3.rds"
"eacdm",94,3,3,"K1_3_K2_3",98486.9081884223,"result/eacdm/dataset_094_K1_3_K2_3.rds"
"eacdm",95,3,3,"K1_3_K2_3",98650.4253943156,"result/eacdm/dataset_095_K1_3_K2_3.rds"
"eacdm",96,3,3,"K1_3_K2_3",98733.3760257266,"result/eacdm/dataset_096_K1_3_K2_3.rds"
"eacdm",97,3,3,"K1_3_K2_3",98800.116002807,"result/eacdm/dataset_097_K1_3_K2_3.rds"
"eacdm",98,3,3,"K1_3_K2_3",98777.1120128596,"result/eacdm/dataset_098_K1_3_K2_3.rds"
"eacdm",99,3,3,"K1_3_K2_3",98869.2600913813,"result/eacdm/dataset_099_K1_3_K2_3.rds"
"eacdm",100,3,3,"K1_3_K2_3",98560.144446555,"result/eacdm/dataset_100_K1_3_K2_3.rds"
