"model","dataset_id","K","bic","path"
"conventional_cdm",19,2,100158.233228777,"result/conventional_cdm/dataset_019_K_2.rds"
"conventional_cdm",19,3,98705.1251562052,"result/conventional_cdm/dataset_019_K_3.rds"
"conventional_cdm",19,4,97716.7456390023,"result/conventional_cdm/dataset_019_K_4.rds"
"conventional_cdm",19,5,98744.2079278607,"result/conventional_cdm/dataset_019_K_5.rds"
"conventional_cdm",19,6,97853.2488666278,"result/conventional_cdm/dataset_019_K_6.rds"
"conventional_cdm",20,2,99561.4526183399,"result/conventional_cdm/dataset_020_K_2.rds"
"conventional_cdm",20,3,98169.6786486433,"result/conventional_cdm/dataset_020_K_3.rds"
"conventional_cdm",20,4,97110.9596515127,"result/conventional_cdm/dataset_020_K_4.rds"
"conventional_cdm",20,5,97343.4742597534,"result/conventional_cdm/dataset_020_K_5.rds"
"conventional_cdm",20,6,97781.3347544031,"result/conventional_cdm/dataset_020_K_6.rds"
"conventional_cdm",21,2,99899.573523232,"result/conventional_cdm/dataset_021_K_2.rds"
"conventional_cdm",21,3,98681.796026162,"result/conventional_cdm/dataset_021_K_3.rds"
"conventional_cdm",21,4,97575.1227323066,"result/conventional_cdm/dataset_021_K_4.rds"
"conventional_cdm",21,5,97796.3247310003,"result/conventional_cdm/dataset_021_K_5.rds"
"conventional_cdm",21,6,98300.4736770616,"result/conventional_cdm/dataset_021_K_6.rds"
"conventional_cdm",22,2,99759.4216281547,"result/conventional_cdm/dataset_022_K_2.rds"
"conventional_cdm",22,3,98510.4006063603,"result/conventional_cdm/dataset_022_K_3.rds"
"conventional_cdm",22,4,98575.558203228,"result/conventional_cdm/dataset_022_K_4.rds"
"conventional_cdm",22,5,97697.2376302356,"result/conventional_cdm/dataset_022_K_5.rds"
"conventional_cdm",22,6,97763.455263987,"result/conventional_cdm/dataset_022_K_6.rds"
"conventional_cdm",23,2,99655.5508669117,"result/conventional_cdm/dataset_023_K_2.rds"
"conventional_cdm",23,3,98469.8049020287,"result/conventional_cdm/dataset_023_K_3.rds"
"conventional_cdm",23,4,97503.4049817956,"result/conventional_cdm/dataset_023_K_4.rds"
"conventional_cdm",23,5,97531.2652429324,"result/conventional_cdm/dataset_023_K_5.rds"
"conventional_cdm",23,6,97591.1371523605,"result/conventional_cdm/dataset_023_K_6.rds"
"conventional_cdm",24,2,100140.963179709,"result/conventional_cdm/dataset_024_K_2.rds"
"conventional_cdm",24,3,98626.8199723296,"result/conventional_cdm/dataset_024_K_3.rds"
"conventional_cdm",24,4,98632.8143371892,"result/conventional_cdm/dataset_024_K_4.rds"
"conventional_cdm",24,5,97491.156282436,"result/conventional_cdm/dataset_024_K_5.rds"
"conventional_cdm",24,6,97723.6178921993,"result/conventional_cdm/dataset_024_K_6.rds"
