"scenario_id","replicate_id","n","J","J_block","true_K1","true_K2","fit_K1","fit_K2","bic","elapsed_min","seed","path","correct"
2,32,1000,48,24,2,2,2,2,98968.6606248451,0.805225551128387,2962022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_032/fit_K1_2_K2_2.rds",TRUE
5,32,1000,72,36,2,2,2,2,147227.724688678,1.23033033212026,5962022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_032/fit_K1_2_K2_2.rds",TRUE
8,32,1000,48,24,3,3,3,3,99476.0012477981,1.16819264491399,8962033,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_032/fit_K1_3_K2_3.rds",TRUE
11,32,1000,72,36,3,3,3,3,148014.153995093,1.62709831396739,11962033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_032/fit_K1_3_K2_3.rds",TRUE
14,32,1000,48,24,4,4,1,4,99918.8137152334,1.13670094410578,14962014,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_032/fit_K1_1_K2_4.rds",FALSE
17,32,1000,72,36,4,4,4,4,148194.443412036,2.82525880734126,17962044,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_032/fit_K1_4_K2_4.rds",TRUE
2,33,1000,48,24,2,2,2,2,98841.3929954793,0.791339882214864,2963022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_033/fit_K1_2_K2_2.rds",TRUE
5,33,1000,72,36,2,2,2,2,146800.301726224,1.12895348469416,5963022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_033/fit_K1_2_K2_2.rds",TRUE
8,33,1000,48,24,3,3,3,3,99178.3226172131,1.15949643850327,8963033,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_033/fit_K1_3_K2_3.rds",TRUE
11,33,1000,72,36,3,3,3,3,147210.871733561,1.64122443199158,11963033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_033/fit_K1_3_K2_3.rds",TRUE
14,33,1000,48,24,4,4,1,4,100725.965682677,1.21098570823669,14963014,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_033/fit_K1_1_K2_4.rds",FALSE
17,33,1000,72,36,4,4,4,4,147960.218753865,2.55981030464172,17963044,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_033/fit_K1_4_K2_4.rds",TRUE
2,34,1000,48,24,2,2,2,2,99008.036713068,0.787561245759328,2964022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_034/fit_K1_2_K2_2.rds",TRUE
5,34,1000,72,36,2,2,2,2,147190.109091228,1.14965784549713,5964022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_034/fit_K1_2_K2_2.rds",TRUE
8,34,1000,48,24,3,3,3,3,99419.7853366144,1.26257435480754,8964033,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_034/fit_K1_3_K2_3.rds",TRUE
11,34,1000,72,36,3,3,3,3,147322.368165353,1.63215373357137,11964033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_034/fit_K1_3_K2_3.rds",TRUE
14,34,1000,48,24,4,4,1,4,100136.009749432,1.13372401793798,14964014,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_034/fit_K1_1_K2_4.rds",FALSE
17,34,1000,72,36,4,4,4,4,148439.156449603,2.60391030311584,17964044,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_034/fit_K1_4_K2_4.rds",TRUE
2,35,1000,48,24,2,2,2,2,98901.7517973885,0.779134154319763,2965022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_035/fit_K1_2_K2_2.rds",TRUE
