"scenario_id","replicate_id","n","J","J_block","K","parameter_block","n_parameter","median_rhat","q95_rhat","max_rhat","n_nonfinite","n_over_1.01","n_over_1.05","proportion_below_1.01","proportion_below_1.05"
4,100,500,72,36,2,"Delta2",108,1.00307614872139,1.00907821587984,1.0136162085895,0,4,0,0.962962962962963,1
4,100,500,72,36,2,"Q1",72,1,1.00241859219994,1.01251087930924,0,1,0,0.986111111111111,1
4,100,500,72,36,2,"Q2",72,1,1.00343404707765,1.00675154194554,0,0,0,1,1
5,1,1000,72,36,2,"eta",8,1.00140845521819,1.0032240297322,1.00344560311444,0,0,0,1,1
5,1,1000,72,36,2,"Delta1",108,1.00420815086678,1.01973057907221,1.0333896103215,0,24,0,0.777777777777778,1
5,1,1000,72,36,2,"Delta2",108,1.00297082155372,1.01045003923622,1.02510180742779,0,8,0,0.925925925925926,1
5,1,1000,72,36,2,"Q1",72,1,1.00327675692872,1.01361371333443,0,1,0,0.986111111111111,1
5,1,1000,72,36,2,"Q2",72,1,1.00231661611162,1.00812540588709,0,0,0,1,1
5,50,1000,72,36,2,"eta",8,1.00129994324073,1.00454772580378,1.00494737207856,0,0,0,1,1
5,50,1000,72,36,2,"Delta1",108,1.00450384552748,1.014471476115,1.02283537208669,0,23,0,0.787037037037037,1
5,50,1000,72,36,2,"Delta2",108,1.0031865916331,1.00818417386131,1.01091170532239,0,3,0,0.972222222222222,1
5,50,1000,72,36,2,"Q1",72,1,1.00406242135314,1.00831441024788,0,0,0,1,1
5,50,1000,72,36,2,"Q2",72,1,1.00198739441868,1.00426336743114,0,0,0,1,1
5,100,1000,72,36,2,"eta",8,1.00059052031516,1.00272317415041,1.0029167104937,0,0,0,1,1
5,100,1000,72,36,2,"Delta1",108,1.00431860120038,1.01585270597529,1.02353873272272,0,19,0,0.824074074074074,1
5,100,1000,72,36,2,"Delta2",108,1.00267588745397,1.00906744115495,1.01206765108205,0,2,0,0.981481481481482,1
5,100,1000,72,36,2,"Q1",72,1,1.00373151622039,1.01615182222058,0,2,0,0.972222222222222,1
5,100,1000,72,36,2,"Q2",72,1,1.00284437258962,1.00576200819838,0,0,0,1,1
6,1,2000,72,36,2,"eta",8,1.0008011451058,1.00235863840983,1.00276737977818,0,0,0,1,1
6,1,2000,72,36,2,"Delta1",108,1.00489894111167,1.01557051850535,1.02542009207592,0,17,0,0.842592592592593,1
6,1,2000,72,36,2,"Delta2",108,1.00348034985868,1.01053498672374,1.01543314685434,0,6,0,0.944444444444444,1
6,1,2000,72,36,2,"Q1",72,1,1.00327295148255,1.00712968190378,0,0,0,1,1
6,1,2000,72,36,2,"Q2",72,1,1.00217726859965,1.00334301469681,0,0,0,1,1
6,50,2000,72,36,2,"eta",8,1.0003588064583,1.00178560539082,1.00230631521155,0,0,0,1,1
6,50,2000,72,36,2,"Delta1",108,1.00378024518012,1.01755457464196,1.02764712508779,0,27,0,0.75,1
6,50,2000,72,36,2,"Delta2",108,1.00354577923385,1.01045765965084,1.01564073249963,0,6,0,0.944444444444444,1
6,50,2000,72,36,2,"Q1",72,1,1.00257422563645,1.00660393087305,0,0,0,1,1
6,50,2000,72,36,2,"Q2",72,1,1.00158499589462,1.00909684452684,0,0,0,1,1
6,100,2000,72,36,2,"eta",8,1.00115481687763,1.00286572048676,1.00340374065657,0,0,0,1,1
6,100,2000,72,36,2,"Delta1",108,1.00473203738978,1.01751364127456,1.02288048893201,0,27,0,0.75,1
6,100,2000,72,36,2,"Delta2",108,1.0038036166238,1.01010634942575,1.01670286550881,0,6,0,0.944444444444444,1
6,100,2000,72,36,2,"Q1",72,1,1.00610632356553,1.01799682507472,0,2,0,0.972222222222222,1
6,100,2000,72,36,2,"Q2",72,1,1.00177316756231,1.01037012008032,0,1,0,0.986111111111111,1
7,1,500,48,24,3,"eta",15,1.00282721821355,1.00466473426569,1.00591141222187,0,0,0,1,1
